iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	0.000339	0.000503	0.000424	-0.000079	0.000244	0.000140	0.000606	56.005607	0.000357	0.000000	1.000000	1.545190	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000253	0.000493	-0.000159	-0.000015	0.000296	-0.000248	0.000554	62.836079	0.000273	0.000000	1.000000	1.412843	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000155	-0.000154	0.000096	0.000036	0.000064	0.000043	0.000218	-135.172432	0.000089	0.000000	1.000000	0.913508	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	-0.000215	-0.000273	0.000007	0.000326	0.000197	0.000056	0.000347	-128.242499	0.000265	0.000000	1.000000	1.456509	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	-0.000264	-0.000360	-0.000004	0.000336	0.000280	0.000021	0.000446	-126.309681	0.000308	0.000000	1.000000	1.870792	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000193	-0.000280	0.000234	0.000119	0.000169	-0.000043	0.000340	-124.596297	0.000218	0.000000	1.000000	1.426133	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000101	-0.000159	0.000331	-0.000162	0.000085	0.000141	0.000189	-122.329633	0.000266	0.000000	1.000000	0.790374	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000257	-0.000058	0.000191	-0.000216	-0.000074	0.000151	0.000264	-167.322598	0.000228	0.000000	1.000000	1.105879	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000119	-0.000076	-0.000021	-0.000331	-0.000144	0.000041	0.000141	-147.541050	0.000241	0.000000	1.000000	0.592125	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000068	0.000130	-0.000069	0.000179	-0.000066	-0.000066	0.000147	62.418190	0.000142	0.000000	1.000000	0.615745	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000217	-0.000073	-0.000231	0.000003	-0.000658	-0.000176	0.000229	-18.498920	0.000456	0.000000	1.000000	0.362832	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000981	0.000253	-0.000362	0.000162	-0.000346	0.000169	0.001013	14.441319	0.000391	0.000000	1.000000	1.606209	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000757	-0.000409	0.000157	0.000261	-0.000503	-0.000012	0.000861	-28.408864	0.000404	0.000000	1.000000	1.364645	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000203	-0.000157	-0.000188	0.000533	-0.000619	-0.000397	0.000256	-37.644864	0.000650	0.000000	1.000000	0.406634	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000101	-0.000266	-0.000586	-0.000114	-0.000546	-0.000750	0.000285	-110.779410	0.000762	0.000000	1.000000	0.451574	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	0.000206	0.000111	-0.000125	-0.000804	-0.000227	0.000115	0.000234	28.211875	0.000534	0.000000	1.000000	0.370769	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000440	0.000161	-0.000138	-0.000399	-0.001418	-0.000209	0.000468	159.923596	0.000928	0.000000	1.000000	0.742084	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	2	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	-0.000087	-0.000200	-0.000375	0.000383	-0.000945	-0.000146	0.000218	-113.652179	0.000746	0.000000	1.000000	0.345671	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000013	-0.000004	-0.000005	0.000009	-0.000072	-0.000031	0.000013	-162.615853	0.000045	0.000000	1.000000	0.080923	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	-0.000108	0.000012	0.000168	0.000037	-0.000174	-0.000057	0.000109	173.477129	0.000178	0.000000	1.000000	0.666741	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000098	0.000160	-0.000152	-0.000093	-0.000076	0.000016	0.000188	58.426647	0.000128	0.000000	1.000000	1.148102	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000049	0.000032	-0.000100	-0.000148	-0.000032	0.000047	0.000059	33.244301	0.000118	0.000000	1.000000	0.358162	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	0.000013	-0.000050	0.000086	0.000067	-0.000163	-0.000093	0.000052	-75.373365	0.000148	0.000000	1.000000	0.317061	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000131	0.000060	-0.000064	0.000269	-0.000111	-0.000161	0.000144	155.298979	0.000236	0.000000	1.000000	0.877440	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000046	-0.000068	0.000048	0.000053	0.000224	-0.000122	0.000082	-124.111532	0.000163	0.000000	1.000000	0.501114	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000036	-0.000174	-0.000019	-0.000120	-0.000174	0.000149	0.000178	-78.360073	0.000175	0.000000	1.000000	1.086820	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000048	-0.000518	0.000097	0.000346	-0.000256	0.000165	0.000520	-84.654247	0.000332	0.000000	1.000000	1.072862	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000456	-0.000396	0.000455	0.000140	-0.000534	0.000118	0.000604	-40.969475	0.000511	0.000000	1.000000	1.245976	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000092	-0.000218	0.000880	0.001081	-0.000207	0.000275	0.000237	-67.220229	0.000869	0.000000	1.000000	0.488064	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000270	-0.000309	0.000134	0.000870	-0.000715	0.000099	0.000410	-131.162288	0.000801	0.000000	1.000000	0.845788	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	0.000093	-0.000718	0.000077	-0.000062	-0.000355	-0.000154	0.000724	-82.598125	0.000243	0.000000	1.000000	1.493970	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000251	-0.000529	-0.000112	-0.000081	-0.000096	0.000125	0.000585	-115.394159	0.000148	0.000000	1.000000	1.207181	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	0.000188	-0.000931	-0.000233	0.000228	0.000155	0.000236	0.000949	-78.574472	0.000304	0.000000	1.000000	1.957949	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	3	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000031	-0.000525	-0.000519	0.000246	-0.000044	0.000460	0.000526	-86.617523	0.000518	0.000000	1.000000	1.084370	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000102	0.000048	-0.000069	-0.000049	0.000056	0.000023	0.000113	24.954948	0.000073	0.000000	1.000000	0.595082	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000214	-0.000093	0.000263	0.000059	-0.000014	0.000183	0.000233	-23.451258	0.000227	0.000000	1.000000	1.226390	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000204	0.000085	0.000039	-0.000026	-0.000002	0.000224	0.000221	22.675895	0.000136	0.000000	1.000000	1.163817	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000194	0.000153	-0.000133	-0.000061	0.000103	0.000061	0.000247	38.284620	0.000133	0.000000	1.000000	1.303317	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000091	0.000174	-0.000220	-0.000048	-0.000077	-0.000017	0.000197	117.645254	0.000152	0.000000	1.000000	1.037706	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	0.000079	-0.000013	0.000071	-0.000018	0.000172	-0.000100	0.000080	-9.400015	0.000136	0.000000	1.000000	0.423726	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	0.000070	-0.000031	-0.000190	-0.000306	-0.000026	-0.000173	0.000077	-23.932532	0.000268	0.000000	1.000000	0.405399	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000047	0.000058	-0.000315	0.000058	0.000235	-0.000015	0.000074	50.817971	0.000278	0.000000	1.000000	0.391925	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000157	0.000242	0.000057	0.000148	0.000091	0.000390	0.000288	123.069520	0.000280	0.000000	1.000000	0.567053	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	-0.000138	0.000307	0.000351	0.000720	-0.000469	-0.000161	0.000336	114.299699	0.000649	0.000000	1.000000	0.661533	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	-0.000360	0.000009	0.000619	-0.000169	0.000362	-0.000179	0.000360	178.595850	0.000523	0.000000	1.000000	0.708672	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000622	0.000122	0.000066	0.000020	-0.000043	0.000544	0.000633	168.924915	0.000308	0.000000	1.000000	1.245725	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000213	0.000141	-0.000292	-0.000227	0.000062	0.000638	0.000256	146.474083	0.000505	0.000000	1.000000	0.503497	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	0.000275	0.000376	-0.000026	-0.000111	-0.000028	0.000732	0.000466	53.837848	0.000423	0.000000	1.000000	0.916890	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000071	0.000154	0.000051	0.000220	0.000312	0.000364	0.000170	114.773877	0.000352	0.000000	1.000000	0.333421	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	4	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000028	0.000583	-0.000369	0.000584	0.000444	0.000792	0.000583	87.215743	0.000799	0.000000	1.000000	1.147056	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000077	-0.000031	-0.000016	-0.000130	-0.000081	-0.000207	0.000083	-157.890269	0.000177	0.000000	1.000000	0.392297	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000153	-0.000133	0.000106	0.000049	0.000149	-0.000179	0.000203	-41.123797	0.000175	0.000000	1.000000	0.962821	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	-0.000189	-0.000283	-0.000089	-0.000064	-0.000082	-0.000210	0.000341	-123.680796	0.000167	0.000000	1.000000	1.615709	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000217	-0.000121	-0.000101	-0.000108	-0.000038	-0.000244	0.000249	-150.864723	0.000197	0.000000	1.000000	1.179087	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000299	0.000072	0.000028	-0.000049	-0.000212	-0.000278	0.000308	166.384162	0.000203	0.000000	1.000000	1.460633	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000146	0.000117	0.000070	-0.000223	-0.000319	-0.000265	0.000187	141.189345	0.000324	0.000000	1.000000	0.885903	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	0.000049	0.000110	-0.000050	-0.000306	-0.000069	-0.000220	0.000120	65.898646	0.000270	0.000000	1.000000	0.571235	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000112	0.000021	-0.000075	-0.000210	0.000003	-0.000053	0.000114	10.384788	0.000138	0.000000	1.000000	0.541997	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000054	-0.000200	-0.000438	0.000178	-0.000062	-0.000158	0.000207	-105.130377	0.000321	0.000000	1.000000	0.381285	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	-0.000067	0.000158	-0.001076	0.000338	-0.000243	-0.000363	0.000172	112.919289	0.000782	0.000000	1.000000	0.316286	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000512	0.000292	-0.000822	0.000343	-0.000293	-0.000350	0.000589	29.717242	0.000674	0.000000	1.000000	1.085133	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000019	0.000328	-0.000801	-0.000176	-0.000548	0.000182	0.000329	93.389242	0.000699	0.000000	1.000000	0.605972	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	0.000009	-0.000454	-0.000730	-0.000375	0.000149	-0.000095	0.000454	-88.915746	0.000499	0.000000	1.000000	0.836228	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000382	-0.000727	-0.000010	0.000277	-0.000108	0.000129	0.000821	-117.740432	0.000223	0.000000	1.000000	1.512537	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000281	-0.000917	0.000191	0.000355	0.000146	-0.000385	0.000959	-107.035985	0.000407	0.000000	1.000000	1.767073	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	5	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	-0.000149	-0.000079	0.000181	0.000482	0.000466	-0.000224	0.000169	-151.911848	0.000516	0.000000	1.000000	0.310757	nan	nan	nan	nan	nan	nan	nan	nan
